,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(27.5k Reviews),Public,"Mumbai,Maharashtra + 207 more",54 years old,1 Lakh+ employees (India)
1,Accenture,4.0,(21.1k Reviews),Public,"Dublin,Dublin + 121 more",33 years old,1 Lakh+ employees (India)
2,Cognizant,3.9,(19.3k Reviews),Private,"Teaneck,New Jersey + 72 more",28 years old,1 Lakh+ employees (India)
3,ICICI Bank,4.0,(18.7k Reviews),Public,"Mumbai,Maharashtra + 904 more",28 years old,50k-1 Lakh employees (India)
4,HDFC Bank,4.0,(16.6k Reviews),Public,"Mumbai,Maharashtra + 976 more",28 years old,1 Lakh+ employees (India)
5,Wipro,3.8,(15.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 223 more",77 years old,1 Lakh+ employees (India)
6,Capgemini,3.7,(14.5k Reviews),Public,Paris + 61 more,55 years old,1 Lakh+ employees (India)
7,HCL Technologies,3.8,(14.1k Reviews),Public,"Noida,Uttar Pradesh + 138 more",46 years old,1 Lakh+ employees (India)
8,Infosys,3.9,(13.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 100 more",41 years old,1 Lakh+ employees (India)
9,Tech Mahindra,3.6,(13.2k Reviews),Public,"Pune,Maharashtra + 144 more",36 years old,50k-1 Lakh employees (India)
10,Genpact,4.0,(12.2k Reviews),Private,"New York,New York + 50 more",25 years old,50k-1 Lakh employees (India)
11,Axis Bank,3.8,(11.8k Reviews),Public,"Mumbai,Maharashtra + 881 more",29 years old,50k-1 Lakh employees (India)
12,Vodafone Idea,4.2,(11.5k Reviews),Public,"Gandhinagar,Gujrat + 508 more",4 years old,10k-50k employees (India)
13,L&T,4.0,(11.3k Reviews),Public,"Mumbai,Maharashtra + 438 more",84 years old,10k-50k employees (India)
14,Reliance jio,4.0,(11.2k Reviews),Public,"Navi Mumbai,Maharashtra + 799 more",15 years old,10k-50k employees (India)
15,IBM,4.1,(11k Reviews),Public,New York + 99 more,111 years old,50k-1 Lakh employees (India)
16,Concentrix Corpora...,4.1,(10.7k Reviews),Public,"Fremont,California + 53 more",39 years old,10k-50k employees (India)
17,Amazon,4.2,(9.9k Reviews),Private,"Seattle,Washington + 276 more",18 years old,10k-50k employees (India)
18,HDB Financial Serv...,4.0,(9.7k Reviews),Private,"Ahmedabad,Gujrat + 631 more",15 years old,1 Lakh+ employees (India)
19,Kotak Mahindra Ban...,3.9,(7.6k Reviews),Public,"Mumbai,Maharashtra + 413 more",19 years old,10k-50k employees (India)
20,Tata Motors,4.1,(7.3k Reviews),Public,"Pune,Maharashtra + 345 more",77 years old,50k-1 Lakh employees (India)
21,Teleperformance,3.6,(7.3k Reviews),Private,Paris + 89 more,44 years old,50k-1 Lakh employees (India)
22,Bharti Airtel,4.1,(7.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 416 more",27 years old,5k-10k employees (India)
23,Reliance Industrie...,4.0,(6.8k Reviews),Public,"Navi Mumbai,Maharashtra + 333 more",49 years old,1 Lakh+ employees (India)
24,Deloitte,3.9,(5.8k Reviews),Private,"New York,New York + 101 more",177 years old,10k-50k employees (India)
25,Mahindra & Mahindr...,4.2,(5.3k Reviews),Public,"Mumbai,Maharashtra + 342 more",77 years old,10k-50k employees (India)
26,IndusInd Bank,3.7,(5.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 467 more",28 years old,10k-50k employees (India)
27,Hinduja Global Sol...,3.9,(4.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 64 more",22 years old,10k-50k employees (India)
28,Reliance Retail,4.1,(4.7k Reviews),Private,"Navi Mumbai,Maharashtra + 348 more",16 years old,1 Lakh+ employees (India)
29,WNS,3.7,(4.7k Reviews),Private,"Mumbai,Maharashtra + 18 more",26 years old,10k-50k employees (India)
